id;code;name;full_name;safety;commer_impact;is_current_flag;description;date_create;date_edit;creator;editor
1;CFA Franc BEAC;Graphical User Interface;monetize Hong Kong;logistical robust systems;Beauty solid state deposit;30878;maximized solid state;2019-05-30T19:11:02;2019-05-31T12:48:14;Iowa COM;Outdoors
2;Music;azure Borders Administrator;Ergonomic Frozen Hat Mews;Metal;Berkshire Frozen violet;6449;Colorado Investment Account;2019-05-31T01:50:45;2019-05-31T08:15:12;transmitting bluetooth backing up;Uganda Shilling channels Minnesota
3;New Israeli Sheqel invoice;Concrete Bermudian Dollar (customarily known as Bermuda Dollar) Automotive;Colorado Computer virtual;leverage gold Washington;Program National;54642;cross-platform Clothing Handcrafted Cotton Gloves;2019-05-31T04:24:00;2019-05-31T11:35:30;fault-tolerant;Chips indexing access
4;Granite analyzer;Brand United States of America;strategic;integrated Shoes seamless;Auto Loan Account payment;62872;Cameroon;2019-05-30T14:18:36;2019-05-31T03:42:32;indigo Outdoors digital;Refined
5;Granite Assistant;mindshare Colorado;HTTP generating;connecting Fish;Kids Florida;84740;holistic;2019-05-31T11:23:05;2019-05-31T04:32:04;Re-contextualized Computer;plum Metal primary
6;International;granular connect;transform FTP Data;systemic;neural;93080;Optional Indiana foreground;2019-05-30T18:12:20;2019-05-31T09:54:02;quantify;user-centric adapter payment
7;plum cutting-edge open-source;New Zealand;deposit Infrastructure;invoice Nebraska microchip;paradigms Bouvet Island (Bouvetoya);67841;Money Market Account optimize;2019-05-31T07:36:58;2019-05-31T03:40:24;Paraguay;payment
8;withdrawal data-warehouse input;calculate Oval;Tools Seychelles Rupee;parsing Tanzanian Shilling;Minnesota Profit-focused;20371;efficient Plaza asynchronous;2019-05-31T01:37:32;2019-05-30T15:08:29;mobile;Awesome Program
9;Sleek Concrete Fish Won THX;back-end Graphic Interface;Shoes Rubber;upward-trending bleeding-edge Handcrafted;Future;9011;bypass;2019-05-30T23:10:49;2019-05-30T18:28:25;Gorgeous Metal Chicken responsive;Granite French Southern Territories Sleek
10;syndicate South Dakota Cotton;Cotton Incredible Plastic Fish Horizontal;backing up Mount;transform Texas Somali Shilling;silver Wooden;31629;Administrator Inverse;2019-05-31T03:02:12;2019-05-30T22:03:10;Berkshire;Michigan Metrics
